2016-04-22 00,71,2022484408,0.0,0.0
2016-04-22 01,85,2022484408,0.0,0.0
2016-04-22 02,85,2022484408,0.0,0.0
2016-04-22 03,69,2022484408,0.0,0.0
2016-04-22 04,65,2022484408,0.0,0.0
2016-04-22 05,60,2022484408,0.0,0.0
2016-04-22 06,65,2022484408,3.0,60.0
2016-04-22 07,80,2022484408,32.0,715.0
2016-04-22 08,71,2022484408,17.0,473.0
2016-04-22 09,116,2022484408,151.0,5596.0
2016-04-22 10,89,2022484408,48.0,1439.0
2016-04-22 11,73,2022484408,22.0,548.0
2016-04-22 12,79,2022484408,26.0,735.0
2016-04-22 13,87,2022484408,27.0,920.0
2016-04-22 14,87,2022484408,32.0,907.0
2016-04-22 15,87,2022484408,20.0,333.0
2016-04-22 16,87,2022484408,7.0,92.0
2016-04-22 17,87,2022484408,8.0,106.0
2016-04-22 18,87,2022484408,19.0,296.0
2016-04-22 19,87,2022484408,27.0,560.0
2016-04-22 20,87,2022484408,10.0,174.0
2016-04-22 21,87,2022484408,0.0,0.0
2016-04-22 22,87,2022484408,0.0,0.0
2016-04-22 23,87,2022484408,0.0,0.0
2016-04-23 00,87,2022484408,0.0,0.0
2016-04-23 01,78,2022484408,0.0,0.0
2016-04-23 02,64,2022484408,0.0,0.0
2016-04-23 03,72,2022484408,0.0,0.0
2016-04-23 04,70,2022484408,0.0,0.0
2016-04-23 05,75,2022484408,0.0,0.0
2016-04-23 06,73,2022484408,0.0,0.0
2016-04-23 07,69,2022484408,0.0,0.0
2016-04-23 08,67,2022484408,0.0,0.0
2016-04-23 09,65,2022484408,0.0,0.0
2016-04-23 10,69,2022484408,0.0,0.0
2016-04-23 11,77,2022484408,0.0,0.0
2016-04-23 12,73,2022484408,13.0,289.0
2016-04-23 13,55,2022484408,40.0,1008.0
2016-04-23 14,55,2022484408,25.0,595.0
2016-04-23 15,55,2022484408,33.0,1232.0
2016-04-23 16,55,2022484408,21.0,729.0
2016-04-23 17,55,2022484408,29.0,459.0
2016-04-23 18,55,2022484408,33.0,618.0
2016-04-23 19,55,2022484408,22.0,483.0
2016-04-23 20,55,2022484408,16.0,267.0
2016-04-23 21,55,2022484408,10.0,139.0
2016-04-23 22,55,2022484408,7.0,182.0
2016-04-23 23,55,2022484408,0.0,0.0
2016-04-24 00,55,2022484408,0.0,0.0
2016-04-24 01,83,2022484408,0.0,0.0
2016-04-24 02,73,2022484408,0.0,0.0
2016-04-24 03,80,2022484408,0.0,0.0
2016-04-24 04,68,2022484408,0.0,0.0
2016-04-24 05,73,2022484408,0.0,0.0
2016-04-24 06,76,2022484408,0.0,0.0
2016-04-24 07,81,2022484408,0.0,0.0
2016-04-24 08,94,2022484408,63.0,3056.0
2016-04-24 09,102,2022484408,84.0,3130.0
2016-04-24 10,76,2022484408,18.0,496.0
2016-04-24 11,74,2022484408,24.0,708.0
2016-04-24 12,73,2022484408,17.0,699.0
2016-04-24 13,71,2022484408,48.0,1305.0
2016-04-24 14,71,2022484408,16.0,519.0
2016-04-24 15,71,2022484408,52.0,1963.0
2016-04-24 16,71,2022484408,2.0,85.0
2016-04-24 17,71,2022484408,23.0,573.0
2016-04-24 18,71,2022484408,32.0,947.0
2016-04-24 19,71,2022484408,0.0,0.0
2016-04-24 20,71,2022484408,0.0,0.0
2016-04-24 21,71,2022484408,0.0,0.0
2016-04-24 22,71,2022484408,0.0,0.0
2016-04-24 23,71,2022484408,0.0,0.0
2016-04-25 00,71,2022484408,0.0,0.0
2016-04-25 01,73,2022484408,0.0,0.0
2016-04-25 02,84,2022484408,0.0,0.0
2016-04-25 03,65,2022484408,0.0,0.0
2016-04-25 04,66,2022484408,0.0,0.0
2016-04-25 05,67,2022484408,0.0,0.0
2016-04-25 06,72,2022484408,0.0,0.0
2016-04-25 07,83,2022484408,23.0,718.0
2016-04-25 08,68,2022484408,18.0,380.0
2016-04-25 09,127,2022484408,155.0,5257.0
2016-04-25 10,72,2022484408,10.0,289.0
2016-04-25 11,71,2022484408,0.0,0.0
2016-04-25 12,71,2022484408,0.0,0.0
2016-04-25 13,71,2022484408,4.0,157.0
2016-04-25 14,71,2022484408,40.0,1507.0
2016-04-25 15,71,2022484408,16.0,281.0
2016-04-25 16,71,2022484408,25.0,696.0
2016-04-25 17,71,2022484408,19.0,645.0
2016-04-25 18,71,2022484408,17.0,250.0
2016-04-25 19,71,2022484408,34.0,1122.0
2016-04-25 20,71,2022484408,4.0,67.0
2016-04-25 21,71,2022484408,0.0,0.0
2016-04-25 22,71,2022484408,0.0,0.0
2016-04-25 23,71,2022484408,0.0,0.0
2016-04-26 00,71,2022484408,0.0,0.0
2016-04-26 01,75,2022484408,0.0,0.0
2016-04-26 02,81,2022484408,0.0,0.0
2016-04-26 03,81,2022484408,0.0,0.0
2016-04-26 04,74,2022484408,0.0,0.0
2016-04-26 05,71,2022484408,0.0,0.0
2016-04-26 06,77,2022484408,0.0,0.0
2016-04-26 07,75,2022484408,30.0,908.0
2016-04-26 08,60,2022484408,6.0,67.0
2016-04-26 09,74,2022484408,35.0,977.0
2016-04-26 10,127,2022484408,157.0,1967.0
2016-04-26 11,97,2022484408,72.0,1005.0
2016-04-26 12,88,2022484408,41.0,1040.0
2016-04-26 13,92,2022484408,1.0,31.0
2016-04-26 14,92,2022484408,28.0,965.0
2016-04-26 15,92,2022484408,32.0,1112.0
2016-04-26 16,92,2022484408,22.0,675.0
2016-04-26 17,92,2022484408,21.0,531.0
2016-04-26 18,92,2022484408,21.0,357.0
2016-04-26 19,92,2022484408,17.0,425.0
2016-04-26 20,92,2022484408,5.0,59.0
2016-04-26 21,92,2022484408,0.0,0.0
2016-04-26 22,92,2022484408,0.0,0.0
2016-04-26 23,92,2022484408,0.0,0.0
